case_id,mach,aoa_deg,iterations,surface_rows,runtime_seconds,final_rms_rho,final_rms_rhoe,cp_min,cp_max,cp_range
mach_0p7000_aoa_m1p250,0.7,-1.25,134,200,1.409428389997629,-8.001540609,-2.491903331,-0.9974871861894298,1.1280716886638085,2.125558874853238
mach_0p7000_aoa_m1p020,0.7,-1.0197368421052633,127,200,1.2436773220033501,-8.01338111,-2.506012513,-0.9053852407752877,1.1272680362935288,2.0326532770688166
mach_0p7000_aoa_m0p789,0.7,-0.7894736842105263,117,200,1.0963903930023662,-8.037428746,-2.532735245,-0.829042564711093,1.133346985539916,1.9623895502510091
mach_0p7000_aoa_m0p559,0.7,-0.5592105263157895,110,200,8.2655628959983,-8.043611207,-2.541586612,-0.7635094061544322,1.1357039135516398,1.8992133197060719
mach_0p7000_aoa_m0p329,0.7,-0.32894736842105265,104,200,4.786728571001731,-8.015208133,-2.515596492,-0.7048340359954396,1.134032167705827,1.8388662037012664
mach_0p7000_aoa_m0p099,0.7,-0.09868421052631593,101,200,0.9915366279965383,-8.0275074,-2.529439132,-0.6516523174470163,1.1281109900889674,1.7797633075359838
mach_0p7000_aoa_p0p132,0.7,0.13157894736842102,102,200,1.3358959430042887,-8.00218284,-2.504696924,-0.6609502721007625,1.1252868397182374,1.786237111819
mach_0p7000_aoa_p0p362,0.7,0.36184210526315796,108,200,8.297050640001544,-8.018016197,-2.518291525,-0.7149026642818648,1.1289381165564016,1.8438407808382664
mach_0p7000_aoa_p0p592,0.7,0.5921052631578947,115,200,1.2529200069984654,-8.029878907,-2.528452247,-0.774917956781375,1.1286266784569623,1.9035446352383372
mach_0p7000_aoa_p0p822,0.7,0.8223684210526314,121,200,1.2062387249970925,-8.005995385,-2.502044212,-0.8419333150405063,1.1246259036598343,1.9665592187003407
mach_0p7000_aoa_p1p053,0.7,1.0526315789473681,129,200,1.579167352996592,-8.001662184,-2.494829859,-0.9206320946008196,1.1172645316287766,2.037896626229596
mach_0p7000_aoa_p1p283,0.7,1.2828947368421053,137,200,1.369548113005294,-8.0258198,-2.515365096,-1.0146577630263913,1.119208479252703,2.1338662422790944
mach_0p7000_aoa_p1p513,0.7,1.513157894736842,164,200,1.533634080995398,-8.00342479,-2.492515033,-1.1104750391188147,1.1226324455350318,2.2331074846538463
mach_0p7000_aoa_p1p743,0.7,1.7434210526315788,170,200,8.929504198000359,-8.03402328,-2.525291015,-1.2001201316017023,1.1234437616816761,2.3235638932833784
mach_0p7000_aoa_p1p974,0.7,1.973684210526316,163,200,1.6789628920014366,-8.000835687,-2.49362121,-1.2839378471897784,1.1219763742527948,2.4059142214425733
mach_0p7000_aoa_p2p204,0.7,2.2039473684210527,150,200,1.321870118001243,-8.029913529,-2.522708473,-1.3481564088616427,1.1185201584025688,2.4666765672642113
mach_0p7000_aoa_p2p434,0.7,2.4342105263157894,136,200,1.2548094829980982,-8.018679348,-2.515815545,-1.4146613586201728,1.113341064104346,2.528002422724519
mach_0p7000_aoa_p2p664,0.7,2.664473684210526,130,200,1.10049381400313,-8.055144452,-2.547636671,-1.4603119462248744,1.1129127726544432,2.5732247188793176
mach_0p7000_aoa_p2p895,0.7,2.894736842105263,120,200,9.89234215599572,-8.052499406,-2.55069305,-1.498539696635482,1.1171167153422237,2.6156564119777057
mach_0p7000_aoa_p3p125,0.7,3.125,114,200,1.232950516998244,-8.055847702,-2.55171904,-1.5355629048897768,1.1196380700716877,2.6552009749614642
mach_0p7078_aoa_m1p250,0.7078125,-1.25,141,200,1.5570921019971138,-8.018899793,-2.507315539,-1.038699229542956,1.130729888696873,2.169429118239829
mach_0p7078_aoa_m1p020,0.7078125,-1.0197368421052633,131,200,1.4213825900005759,-8.001211982,-2.491287306,-0.9420691585581276,1.130751207169807,2.0728203657279343
mach_0p7078_aoa_m0p789,0.7078125,-0.7894736842105263,126,200,9.683660179995059,-8.01332745,-2.505284277,-0.8550718983701077,1.1365565733502958,1.9916284717204036
mach_0p7078_aoa_m0p559,0.7078125,-0.5592105263157895,116,200,1.1864911559969187,-8.018024701,-2.512736327,-0.7830897328109047,1.1387612761824624,1.9218510089933671
mach_0p7078_aoa_m0p329,0.7078125,-0.32894736842105265,110,200,1.159982338998816,-8.048422135,-2.545723184,-0.7211676514929045,1.137038867156116,1.8582065186490206
mach_0p7078_aoa_m0p099,0.7078125,-0.09868421052631593,105,200,1.1484360710019246,-8.008921203,-2.509414923,-0.6656448664905129,1.1311673098209545,1.7968121763114673
mach_0p7078_aoa_p0p132,0.7078125,0.13157894736842102,108,200,1.1316184210008942,-8.029799732,-2.529748898,-0.6749743489942142,1.1283255391041702,1.8032998880983844
mach_0p7078_aoa_p0p362,0.7078125,0.36184210526315796,114,200,1.2006196889997227,-8.002829355,-2.500825959,-0.732134109078157,1.1319443371934002,1.8640784462715572
mach_0p7078_aoa_p0p592,0.7078125,0.5921052631578947,121,200,8.398706129999482,-8.024610069,-2.520179013,-0.7957569717779455,1.1316974961992345,1.9274544679771801
mach_0p7078_aoa_p0p822,0.7078125,0.8223684210526314,128,200,1.1035427610040642,-8.012079023,-2.504773081,-0.8704805241040587,1.127859888050465,1.9983404121545238
mach_0p7078_aoa_p1p053,0.7078125,1.0526315789473681,134,200,1.1275688219975564,-8.004370945,-2.49392873,-0.9620734119646623,1.120788409176892,2.082861821141554
mach_0p7078_aoa_p1p283,0.7078125,1.2828947368421053,164,200,1.8078943559958134,-8.003116272,-2.492985896,-1.05428648103205,1.1218160606797496,2.1761025417117996
mach_0p7078_aoa_p1p513,0.7078125,1.513157894736842,173,200,1.7479008779992,-8.021065844,-2.510629043,-1.148092061947707,1.1253658685781327,2.27345793052584
mach_0p7078_aoa_p1p743,0.7078125,1.7434210526315788,164,200,1.5828216649970273,-8.012873108,-2.505828034,-1.2289648184275925,1.1264602545982274,2.35542507302582
mach_0p7078_aoa_p1p974,0.7078125,1.973684210526316,151,200,8.994253924000077,-8.002890557,-2.496887808,-1.2948767042828888,1.1254324965974152,2.420309200880304
mach_0p7078_aoa_p2p204,0.7078125,2.2039473684210527,140,200,1.318114876994514,-8.01306423,-2.507702214,-1.3617831622619807,1.1225453191714057,2.484328481433386
mach_0p7078_aoa_p2p434,0.7078125,2.4342105263157894,132,200,1.2207644230002188,-8.045119189,-2.540532563,-1.4098135795123456,1.1180355815771064,2.527849161089452
mach_0p7078_aoa_p2p664,0.7078125,2.664473684210526,122,200,1.2547155619977275,-8.038246687,-2.533590941,-1.4463133232873127,1.1144667951672231,2.560780118454536
mach_0p7078_aoa_p2p895,0.7078125,2.894736842105263,121,200,1.2653238539933227,-8.039073986,-2.524935604,-1.4808971592641775,1.119113400188955,2.600010559453133
mach_0p7078_aoa_p3p125,0.7078125,3.125,131,200,8.534958092001034,-8.015469553,-2.502397401,-1.5181368917477878,1.1221288488752619,2.6402657406230494
mach_0p7156_aoa_m1p250,0.715625,-1.25,166,200,1.9538063340005465,-8.004801066,-2.492176123,-1.078795841198138,1.1333248255433999,2.212120666741538
mach_0p7156_aoa_m1p020,0.715625,-1.0197368421052633,139,200,1.462905503998627,-8.02122941,-2.508643792,-0.9846903208300787,1.1343466880798854,2.119037008909964
mach_0p7156_aoa_m0p789,0.715625,-0.7894736842105263,133,200,1.6238519010003074,-8.002972142,-2.492580123,-0.8903622496575745,1.1398221615974062,2.0301844112549805
mach_0p7156_aoa_m0p559,0.715625,-0.5592105263157895,125,200,1.3165820849972079,-8.031658326,-2.523085174,-0.8079109535011939,1.1418563941930908,1.9497673476942847
mach_0p7156_aoa_m0p329,0.715625,-0.32894736842105265,116,200,1.4706041640019976,-8.036422583,-2.530623815,-0.7402373760844527,1.140078006403663,1.8803153824881158
mach_0p7156_aoa_m0p099,0.715625,-0.09868421052631593,111,200,8.608836530998815,-8.03354352,-2.530970649,-0.6813816275112217,1.134259893132221,1.8156415206434426
mach_0p7156_aoa_p0p132,0.715625,0.13157894736842102,114,200,1.3597796559988637,-8.028158807,-2.525894689,-0.6914244169134484,1.1314000987268154,1.8228245156402636
mach_0p7156_aoa_p0p362,0.715625,0.36184210526315796,120,200,1.2678036720026284,-8.008446914,-2.503818436,-0.751909692359051,1.134985226887984,1.8868949192470352
mach_0p7156_aoa_p0p592,0.715625,0.5921052631578947,126,200,1.5886559830032638,-8.006595329,-2.498832227,-0.8227874548414061,1.134810776989468,1.957598231830874
mach_0p7156_aoa_p0p822,0.715625,0.8223684210526314,134,200,2.033924568000657,-8.029291109,-2.518770055,-0.9093077974784487,1.1311600760411327,2.0404678735195816
mach_0p7156_aoa_p1p053,0.715625,1.0526315789473681,161,200,8.751298731003772,-8.004666764,-2.491677003,-1.0041387240843178,1.1244434580374116,2.1285821821217294
mach_0p7156_aoa_p1p283,0.715625,1.2828947368421053,171,200,1.7163130979970447,-8.022680672,-2.511031452,-1.0922840689010407,1.12435987649352,2.2166439453945608
mach_0p7156_aoa_p1p513,0.715625,1.513157894736842,168,200,1.954832167000859,-8.006441337,-2.49689056,-1.1731514901296431,1.1280515969115745,2.301203087041218
mach_0p7156_aoa_p1p743,0.715625,1.7434210526315788,153,200,1.7058187739967252,-8.005792318,-2.498663161,-1.2483713288785574,1.1294558646210737,2.3778271934996313
mach_0p7156_aoa_p1p974,0.715625,1.973684210526316,146,200,8.40173815000162,-8.012347246,-2.5044911,-1.3037371312149755,1.1288773908114997,2.4326145220264754
mach_0p7156_aoa_p2p204,0.715625,2.2039473684210527,132,200,1.2640372269961517,-8.024207583,-2.521953302,-1.3614620804867235,1.1265501606730943,2.488012241159818
mach_0p7156_aoa_p2p434,0.715625,2.4342105263157894,125,200,1.3492519749997882,-8.039459014,-2.537338794,-1.3955635954613035,1.122651633697546,2.5182152291588498
mach_0p7156_aoa_p2p664,0.715625,2.664473684210526,122,200,1.3986182129956433,-8.018132732,-2.507406593,-1.429160826895621,1.1172875699174154,2.5464483968130365
mach_0p7156_aoa_p2p895,0.715625,2.894736842105263,116,200,1.255385889999161,-8.076339117,-2.55869458,-1.4656716907808343,1.120984666873658,2.5866563576544923
mach_0p7156_aoa_p3p125,0.715625,3.125,110,200,1.0924849989969516,-8.007937151,-2.49806597,-1.504093811018996,1.1244507173160894,2.6285445283350857
mach_0p7234_aoa_m1p250,0.7234375,-1.25,167,200,9.040383940002357,-8.018118522,-2.506556306,-1.113243932548245,1.1358172249178426,2.2490611574660875
mach_0p7234_aoa_m1p020,0.7234375,-1.0197368421052633,170,200,1.6811715849980828,-8.026748455,-2.512783967,-1.0257294108057828,1.1380732998860037,2.1638027106917868
mach_0p7234_aoa_m0p789,0.7234375,-0.7894736842105263,140,200,1.3243561620038236,-8.003544497,-2.490297091,-0.9359702140278057,1.1431484522035114,2.079118666231317
mach_0p7234_aoa_m0p559,0.7234375,-0.5592105263157895,133,200,1.290845867995813,-8.036128809,-2.525336498,-0.8423801748333362,1.1449809792604495,1.9873611540937857
mach_0p7234_aoa_m0p329,0.7234375,-0.32894736842105265,124,200,1.2620581000010134,-8.016490475,-2.507718287,-0.7640880617914435,1.1431404024540617,1.907228464245505
mach_0p7234_aoa_m0p099,0.7234375,-0.09868421052631593,117,200,1.1906410430019605,-8.006270731,-2.501054223,-0.6995661754871774,1.137380634657585,1.8369468101447624
mach_0p7234_aoa_p0p132,0.7234375,0.13157894736842102,120,200,8.79858948400215,-8.018359433,-2.513479103,-0.710316788003355,1.1345023546052122,1.8448191426085672
mach_0p7234_aoa_p0p362,0.7234375,0.36184210526315796,126,200,1.2765781720008818,-8.047146957,-2.539355579,-0.7774816952531927,1.1380521174981584,1.915533812751351
mach_0p7234_aoa_p0p592,0.7234375,0.5921052631578947,130,200,1.3675281010000617,-8.023578672,-2.512784297,-0.8596140548205492,1.1379607507482314,1.9975748055687808
mach_0p7234_aoa_p0p822,0.7234375,0.8223684210526314,156,200,1.536613372998545,-8.005286453,-2.492483459,-0.9530458071439633,1.1345393149829075,2.0875851221268706
mach_0p7234_aoa_p1p053,0.7234375,1.0526315789473681,172,200,1.8705179809985566,-8.016544874,-2.504245795,-1.0459088077490357,1.128251049194776,2.1741598569438114
mach_0p7234_aoa_p1p283,0.7234375,1.2828947368421053,168,200,8.967351304003387,-8.012530244,-2.502837534,-1.1280076026122585,1.126801006309024,2.2548086089212824
mach_0p7234_aoa_p1p513,0.7234375,1.513157894736842,157,200,1.5805561270026374,-8.020469804,-2.51144382,-1.1995179445074111,1.130662719622966,2.330180664130377
mach_0p7234_aoa_p1p743,0.7234375,1.7434210526315788,144,200,1.4946339689995511,-8.01704136,-2.509933031,-1.250605652771263,1.1323987674887492,2.3830044202600122
mach_0p7234_aoa_p1p974,0.7234375,1.973684210526316,134,200,1.409447744001227,-8.004272881,-2.498123494,-1.3106959962953404,1.132269475450179,2.442965471745519
mach_0p7234_aoa_p2p204,0.7234375,2.2039473684210527,128,200,1.2542690230038716,-8.012334089,-2.505870726,-1.348383775268985,1.1304647713484868,2.4788485466174714
mach_0p7234_aoa_p2p434,0.7234375,2.4342105263157894,123,200,8.278787553994334,-8.001697013,-2.493399135,-1.3809271748734813,1.1271301165475966,2.508057291421078
mach_0p7234_aoa_p2p664,0.7234375,2.664473684210526,116,200,1.2723115150001831,-8.084483431,-2.573985327,-1.4160717433551704,1.1224061596756303,2.5384779030308007
mach_0p7234_aoa_p2p895,0.7234375,2.894736842105263,124,200,1.3584178750024876,-8.031612639,-2.519077865,-1.4535294675013695,1.1226738770220117,2.576203344523381
mach_0p7234_aoa_p3p125,0.7234375,3.125,107,200,1.417562968999846,-8.021178074,-2.494546297,-1.4936453681082493,1.1265929196200448,2.620238287728294
mach_0p7312_aoa_m1p250,0.73125,-1.25,152,200,1.6334839740011375,-8.028645385,-2.517219189,-1.1375539574640274,1.1381924552598202,2.275746412723848
mach_0p7312_aoa_m1p020,0.73125,-1.0197368421052633,165,200,2.2476515239977743,-8.012091978,-2.501719443,-1.0599431864481723,1.1419489603801984,2.2018921468283708
mach_0p7312_aoa_m0p789,0.73125,-0.7894736842105263,166,200,8.791582561003452,-8.012451269,-2.499597028,-0.9773533163294625,1.146553693478991,2.1239070098084536
mach_0p7312_aoa_m0p559,0.73125,-0.5592105263157895,137,200,1.4385793910041684,-8.004384663,-2.490345161,-0.886226940319644,1.1481398906585638,2.034366830978208
mach_0p7312_aoa_m0p329,0.73125,-0.32894736842105265,130,200,1.3637151069997344,-8.001834539,-2.491141543,-0.7964423121149339,1.1462293613810066,1.9426716734959406
mach_0p7312_aoa_m0p099,0.73125,-0.09868421052631593,125,200,1.3983375030002207,-8.004707715,-2.496542002,-0.7226735234927009,1.1405350997428654,1.8632086232355662
mach_0p7312_aoa_p0p132,0.73125,0.13157894736842102,126,200,1.3443116510024993,-8.000228929,-2.492638507,-0.7344824745755492,1.1376377120038275,1.8721201865793766
mach_0p7312_aoa_p0p362,0.73125,0.36184210526315796,129,200,8.224364063004032,-8.006248473,-2.495822976,-0.8118856172087704,1.1411495895836048,1.953035206792375
mach_0p7312_aoa_p0p592,0.73125,0.5921052631578947,149,200,1.4909965730039403,-8.00561535,-2.492120279,-0.9055175984433295,1.1411590727088836,2.046676671152213
mach_0p7312_aoa_p0p822,0.73125,0.8223684210526314,170,200,2.2839237239968497,-8.022699375,-2.50879852,-0.9957215168292919,1.1380204494657196,2.1337419662950117
mach_0p7312_aoa_p1p053,0.73125,1.0526315789473681,170,200,1.756533155006764,-8.001098206,-2.488917177,-1.0803465348697325,1.1322300355534598,2.2125765704231926
mach_0p7312_aoa_p1p283,0.73125,1.2828947368421053,160,200,8.669819636998,-8.009435537,-2.496070347,-1.1476742430827085,1.1291300320216953,2.2768042751044035
mach_0p7312_aoa_p1p513,0.73125,1.513157894736842,147,200,1.5631070739982533,-8.020541569,-2.509859154,-1.208678365412929,1.133186948435367,2.341865313848296
mach_0p7312_aoa_p1p743,0.73125,1.7434210526315788,139,200,1.5847466900013387,-8.066923447,-2.557456186,-1.2553741101564435,1.135279911147945,2.3906540213043885
mach_0p7312_aoa_p1p974,0.73125,1.973684210526316,131,200,1.3299997430003714,-8.014604078,-2.507263154,-1.3035174265346292,1.1355884388759072,2.4391058654105366
mach_0p7312_aoa_p2p204,0.73125,2.2039473684210527,122,200,1.294842304996564,-8.011403566,-2.506838822,-1.3368267934548543,1.134288449330862,2.471115242785716
mach_0p7312_aoa_p2p434,0.73125,2.4342105263157894,120,200,1.1334478170028888,-8.036943747,-2.527633746,-1.370236151752109,1.1315221239942432,2.5017582757463526
mach_0p7312_aoa_p2p664,0.73125,2.664473684210526,114,200,8.119477788997756,-8.019177799,-2.511597294,-1.406906961305138,1.1274089599168182,2.534315921221956
mach_0p7312_aoa_p2p895,0.73125,2.894736842105263,127,200,1.9038332989948685,-8.04818706,-2.530178355,-1.443249057170513,1.124221668909366,2.567470726079879
mach_0p7312_aoa_p3p125,0.73125,3.125,116,200,1.2836780850047944,-8.01081289,-2.490636083,-1.4808213990292383,1.1285795786960902,2.609400977725328
mach_0p7391_aoa_m1p250,0.7390625,-1.25,147,200,1.5859337040019454,-8.019681393,-2.509631192,-1.1573197328327496,1.1404396992584855,2.297759432091235
mach_0p7391_aoa_m1p020,0.7390625,-1.0197368421052633,156,200,1.6844225140011986,-8.008018064,-2.496353214,-1.0958681608816183,1.1459441274541473,2.2418122883357654
mach_0p7391_aoa_m0p789,0.7390625,-0.7894736842105263,167,200,8.754427116997249,-8.016589829,-2.504451348,-1.0183757818261745,1.1500314110077747,2.168407192833949
mach_0p7391_aoa_m0p559,0.7390625,-0.5592105263157895,166,200,1.8409324750027736,-8.006485823,-2.49165207,-0.9306259162889308,1.1513206960560365,2.081946612344967
mach_0p7391_aoa_m0p329,0.7390625,-0.32894736842105265,140,200,1.48259759600478,-8.02881492,-2.513488473,-0.8401292829756506,1.1493253764869513,1.989454659462602
mach_0p7391_aoa_m0p099,0.7390625,-0.09868421052631593,131,200,1.258501949996571,-8.005235367,-2.495318636,-0.7531069723741113,1.143712889421903,1.8968198617960144
mach_0p7391_aoa_p0p132,0.7390625,0.13157894736842102,132,200,1.5625847920018714,-8.017638785,-2.507203164,-0.7669040778744256,1.1407949799158763,1.907699057790302
mach_0p7391_aoa_p0p362,0.7390625,0.36184210526315796,141,200,1.9068663029975141,-8.011325684,-2.496095878,-0.8578076013921851,1.144261978306561,2.0020695796987464
mach_0p7391_aoa_p0p592,0.7390625,0.5921052631578947,166,200,8.057762236006965,-8.001072249,-2.487038337,-0.9482778844694687,1.144401630678362,2.0926795151478306
mach_0p7391_aoa_p0p822,0.7390625,0.8223684210526314,168,200,1.9713109599979362,-8.001316996,-2.490592034,-1.0278193266604563,1.141601875680875,2.169421202341331
mach_0p7391_aoa_p1p053,0.7390625,1.0526315789473681,156,200,1.6752340539969737,-8.019133651,-2.510286513,-1.101357641287567,1.1363588854997675,2.2377165267873345
mach_0p7391_aoa_p1p283,0.7390625,1.2828947368421053,150,200,1.6450309499996365,-8.035926833,-2.525287938,-1.166098159688155,1.131336085814735,2.29743424550289
mach_0p7391_aoa_p1p513,0.7390625,1.513157894736842,141,200,8.086739687001682,-8.059851566,-2.549602696,-1.200588235960241,1.1356441593080149,2.3362323952682558
mach_0p7391_aoa_p1p743,0.7390625,1.7434210526315788,131,200,1.4132560599973658,-8.014004268,-2.506820893,-1.258433343777761,1.1380938580453324,2.396527201823093
mach_0p7391_aoa_p1p974,0.7390625,1.973684210526316,120,200,1.2930222430004505,-8.035796124,-2.532236675,-1.2949962538801896,1.1388272856847586,2.433823539564948
mach_0p7391_aoa_p2p204,0.7390625,2.2039473684210527,119,200,1.2921809920007945,-8.044638914,-2.535632118,-1.3280705895312408,1.138017255684874,2.466087845216115
mach_0p7391_aoa_p2p434,0.7390625,2.4342105263157894,128,200,1.4896273609992932,-8.069598081,-2.550079738,-1.3604762520424514,1.1357858099598812,2.496262062002333
mach_0p7391_aoa_p2p664,0.7390625,2.664473684210526,120,200,1.3067931260011392,-8.01695202,-2.504217913,-1.3958769687080181,1.1322500023964766,2.528126971104495
mach_0p7391_aoa_p2p895,0.7390625,2.894736842105263,113,200,1.1699468119986705,-8.089470381,-2.566056268,-1.4315516028489217,1.1275109109826074,2.5590625138315293
mach_0p7391_aoa_p3p125,0.7390625,3.125,119,200,8.15463897799782,-8.024834257,-2.510034987,-1.4672171560154246,1.1304335964107708,2.5976507524261954
mach_0p7469_aoa_m1p250,0.746875,-1.25,142,200,1.433120763998886,-8.051640389,-2.54131404,-1.1706239259026068,1.1442319022397933,2.3148558281424
mach_0p7469_aoa_m1p020,0.746875,-1.0197368421052633,149,200,1.5376657390006585,-8.036846963,-2.522988531,-1.1073965664284373,1.1500269539727377,2.2574235204011748
mach_0p7469_aoa_m0p789,0.746875,-0.7894736842105263,158,200,1.7057399900004384,-8.000017659,-2.48771449,-1.047619066798057,1.1535716008142558,2.2011906676123125
mach_0p7469_aoa_m0p559,0.746875,-0.5592105263157895,164,200,1.6509051480024937,-8.012401285,-2.496964269,-0.9724143546775644,1.1545209792275177,2.1269353339050823
